category,total_revenue,total_orders,avg_item_price,revenue_share_pct
health_beauty,1233131.72,8647,130.28,9.33
watches_gifts,1166176.98,5495,199.04,8.82
bed_bath_table,1023434.76,9272,93.44,7.74
sports_leisure,954852.55,7530,113.25,7.22
computers_accessories,888724.61,6530,116.26,6.72
furniture_decor,711927.69,6307,87.25,5.38
housewares,615628.69,5743,90.6,4.66
cool_stuff,610204.1,3559,164.12,4.62
auto,578966.65,3810,139.85,4.38
toys,471286.48,3804,116.94,3.56
garden_tools,470495.28,3448,110.24,3.56
baby,400421.84,2809,134.28,3.03
perfumery,390144.65,3086,116.81,2.95
telephony,309860.23,4093,69.95,2.34
office_furniture,268154.31,1254,160.76,2.03
