state,total_delivered,avg_delivery_days,late_rate_pct
RR,41,29.4,12.2
AP,67,27.2,4.48
AM,145,26.4,4.14
AL,397,24.5,23.93
PA,946,23.8,12.37
MA,717,21.6,19.67
SE,335,21.5,15.22
CE,1279,21.3,15.32
AC,80,21.0,3.75
PB,517,20.4,11.03
PI,476,19.5,15.97
RO,243,19.4,2.88
BA,3256,19.3,14.04
RN,474,19.3,10.76
PE,1593,18.4,10.8
MT,886,18.1,6.77
TO,274,17.7,12.77
ES,1995,15.8,12.23
GO,1957,15.6,8.18
MS,701,15.6,11.55
RS,5344,15.3,7.15
RJ,12350,15.3,13.47
SC,3546,15.0,9.76
DF,2080,13.0,7.07
PR,4922,12.0,5.0
MG,11354,12.0,5.61
SP,40494,8.8,5.89
