seller_id,seller_state,total_orders,total_revenue,avg_review_score,late_rate_pct
001cca7ae9ae17fb1caed9dfb1094831,ES,195,24487.03,3.97,6.67
002100f778ceb8431b7a1020ff7ab48f,SP,50,1236.5,4.04,18.0
004c9cd9d87a3c30c522c48c4fc07416,SP,156,20324.2,4.15,8.33
00ee68308b45bc5e2660cd833c3f81cc,SP,135,20345.0,4.33,8.89
00fc707aaaad2d31347cf883cd2dfe10,PR,103,13409.9,3.74,4.85
01cf7e3d21494c41fb86034f2e714fa1,PR,59,9439.56,4.19,5.08
01fdefa7697d26ad920e9e0346d4bd1b,PR,128,14802.53,4.37,6.25
0241d4d5d36f10f80c644447315af0bd,PR,238,31561.5,4.28,5.88
04308b1ee57b6625f47df1d56f00eedf,SC,92,58991.8,3.95,11.96
0432ead42b6c8a0bdf68154add917fdf,SP,82,7574.4,4.55,3.66
048c2757535328e0d7dac690ad3c0aae,SP,50,9065.08,4.24,14.0
0509040ea3fe50071181bbc359eb7738,MG,87,3689.35,4.49,6.9
056b4ada5bbc2c50cc7842547dda6b51,RJ,64,12203.4,4.16,10.94
058fd0aa2bfdb2274e05e1ae971dabb6,SP,60,7631.9,4.38,6.67
05d2173d43ea568aa0540eba70d2ca76,MG,62,5759.66,4.0,6.45
05f51e13da97139648b8125c31e5f51b,MG,57,13100.31,4.25,15.79
05ff92fedb5be47920fea08e501238b9,RS,57,21853.98,4.24,5.26
062ce95fa2ad4dfaedfc79260130565f,RS,54,7479.1,4.02,3.7
06579cb253ecd5a3a12a9e6eb6bf8f47,SP,61,4587.4,3.84,13.11
066a6914e1ebf3ea95a216c73a986b91,PR,66,8956.38,3.97,3.03
06a2c3af7b3aee5d69171b0e14f0ee87,MA,389,36220.97,4.03,23.14
06e5eefc71ec47ae763c5c6f8db7064f,RS,90,21648.67,3.96,2.22
080102cd0a76b09e0dcf55fcacc60e05,MG,122,5612.65,4.53,4.1
080199a181c46c657dc5aa235411be3b,SP,79,14504.2,4.61,2.53
08633c14ef2db992c11f840f04fad4cd,SP,74,7644.3,4.24,6.76
09f952a5f58d2285b0372551ae8f9b01,SP,50,11821.5,3.88,6.0
0adac9fbd9a2b63cccaac4f8756c1ca8,SP,106,15566.5,4.01,6.6
0b35c634521043bf4b47e21547b99ab5,PR,50,13235.65,3.53,16.0
0b90b6df587eb83608a64ea8b390cf07,PR,163,29075.68,4.03,3.68
0bae85eb84b9fb3bd773911e89288d54,SP,136,7433.56,4.23,0.74
0be8ff43f22e456b4e0371b2245e4d01,SP,156,11336.0,3.97,6.41
0c7533c71df861ec58ad7ff999ed0e8d,SP,61,3043.2,4.04,4.92
0c8380b62e38e8a1e6adbeba7eb9688c,MG,180,17438.79,4.07,5.56
0d85bbda9889ce1f7e63778d24f346eb,MG,51,4845.2,4.21,11.76
0db783cfcd3b73998abc6e10e59a102f,SP,132,9077.4,4.21,3.79
0dd184061fb0eaa7ca37932c68ab91c5,SP,161,18446.92,3.95,11.8
0df3984f9dfb3d49ac6366acbd3bbb85,MG,86,9891.49,4.34,1.16
0ea22c1cfbdc755f86b9b54b39c16043,MG,234,10826.3,4.35,1.71
1025f0e2d44d7041d6cf58b6550e0bfa,SP,910,139720.16,3.87,10.11
1127b7f2594683f2510f1c2c834a486b,SP,110,6703.7,4.19,2.73
116ccb1a1604bc88e4d234a8c23f33de,SP,61,2004.89,4.6,6.56
11bfa66332777660bd0640ee84d47006,SP,76,4146.86,3.78,15.79
128639473a139ac0f3e5f5ade55873a5,PR,527,11795.85,4.2,6.26
12b9676b00f60f3b700e83af21824c0e,RS,133,26575.0,4.53,1.5
1336efc61c316ddf92c899eb817f7cae,SP,74,4837.31,3.94,9.46
1554a68530182680ad5c8b042c3ab563,MG,246,29164.43,4.27,6.91
16090f2ca825584b5a147ab24aa30c86,SP,398,25579.16,4.07,10.8
165fc07beebdcb6190fba8a06db2a449,PR,50,17481.4,3.69,12.0
17a053fcb14bd219540cbde0df490be0,SP,124,40753.14,4.23,8.06
17ca9b9e9b9ef8fdb529001b49ebb50f,MG,115,9719.83,4.04,2.61
17e34d8224d27a541263c4c64b11a56b,SP,247,54440.28,4.2,8.5
17f51e7198701186712e53a39c564617,SP,56,48019.0,4.34,8.93
1835b56ce799e6a4dc4eddc053f04066,SP,417,33211.72,3.62,11.75
1838dd9b8977065acf51d95e0053ea7a,MG,62,2750.5,4.34,4.84
18a349e75d307f4b4cc646a691ed4216,SP,109,7425.21,3.52,6.42
1900267e848ceeba8fa32d80c1a5f5a8,SP,406,24824.46,3.88,10.34
1a3df491d1c4f1589fc2b934ada68bf2,SC,160,22693.2,4.24,5.63
1b4c3a6f53068f0b6944d2d005c9fc89,SC,111,14469.5,4.15,6.31
1b8356dabde1d35e17cef975c3f82730,SP,55,3366.4,4.13,1.82
1bb2bdb95f4841f1bba2c0d2cd83d3c9,SP,79,4930.73,4.58,7.59
1c129092bf23f28a5930387c980c0dfc,SP,200,9528.62,4.18,5.5
1c68394e931a64f90ea236c5ea590300,PR,142,26133.56,3.94,3.52
1ca7077d890b907f89be8c954a02686a,SP,108,12474.64,2.27,22.22
1d8dbc4f32378d715c717c1c1fc57bae,PR,91,11205.99,3.93,9.89
1da3aeb70d7989d1e6d9b0e887f97c23,SP,261,8717.54,4.07,5.75
1e8b33f18b4f7598d87f5cbee2282cc2,SP,122,17233.56,4.31,4.92
1eade46fba20122dc4aefb379f8c636b,SP,58,3635.37,4.31,13.79
1f50f920176fa81dab994f9023523100,SP,1399,107147.91,3.99,10.58
1f9ab4708f3056ede07124aad39a2554,SP,76,13312.93,4.11,5.26
2138ccb85b11a4ec1e37afbd1c8eda1f,SP,388,12108.21,3.92,5.41
213b25e6f54661939f11710a6fddb871,SP,152,15225.8,3.83,8.55
218d46b86c1881d022bce9c68a7d4b15,SP,382,53950.3,4.17,9.42
229c3efbfb0ea2058de4ccdfbc3d784a,MG,118,15479.0,3.64,1.69
23613d49c3ac2bd302259e55c06c050c,SP,69,4193.1,3.69,14.49
23d7c96d4a1160db1c726b248601b25a,SP,50,10868.14,3.92,12.0
2528513dd95219a6013d4d05176e391a,SP,160,32660.2,3.96,5.0
259f7b5e6e482c230e5bfaa670b6bb8f,SP,136,8429.13,4.27,2.21
25c5c91f63607446a97b143d2d535d31,MG,156,54951.52,3.72,7.05
25cf099de44674fde97473224f9d59ab,SP,50,1654.36,4.33,4.0
25e6ffe976bd75618accfe16cefcbd0d,SP,106,11552.62,4.42,5.66
282f23a9769b2690c5dda22e316f9941,MG,98,6464.28,4.33,5.1
289cdb325fb7e7f891c38608bf9e0962,SP,109,13410.55,4.59,1.83
2a261b5b644fa05f4f2700eb93544f2c,SP,51,5405.0,3.34,19.61
2a7dc43cecabf23403078e2188437d1d,SP,52,4795.91,4.09,7.69
2a84855fd20af891be03bc5924d2b453,MG,155,14989.0,4.36,3.23
2b3e4a2a3ea8e01938cabda2a3e5cc79,SP,52,23629.15,4.39,0.0
2c9e548be18521d1c43cde1c582c6de8,SP,124,6013.56,3.95,16.13
2dee2ce60de9709b1a24083217181a1f,MT,54,7784.5,4.36,1.85
2e1c9f22be269ef4643f826c9e650a52,SP,161,12260.23,4.24,6.83
2e90cb1677d35cfe24eef47d441b7c87,SP,127,13894.71,4.04,13.39
2eb70248d66e0e3ef83659f71b244378,SP,187,39115.62,2.81,13.9
2ff97219cb8622eaf3cd89b7d9c09824,SP,87,4339.1,4.55,5.75
3078096983cf766a32a06257648502d1,SP,56,7910.84,4.3,5.36
30a2f535bb48308f991d0b9ad4a8c4bb,SP,71,4781.2,4.26,2.82
318f287a62ab7ac10b703ac37435a231,SP,51,2432.48,3.92,9.8
33a6f4b1e7cdc205511e76ba1b6e0186,SP,105,10295.01,4.36,1.9
34056b8b55c1775a22af2331670a799c,SP,77,6398.7,4.04,11.69
3504c0cb71d7fa48d967e0e4c94d59d9,SP,53,2349.94,4.42,0.0
36a968b544695394e4e9d7572688598f,SP,148,6999.37,3.73,4.73
37515688008a7a40ac93e3b2e4ab203f,SP,227,5954.1,4.09,10.13
376a891762bbdecbc02b4b6adec3fdda,GO,57,6406.23,4.67,3.51
